'id','meta_series','month_year','region_id','std_margin_percentage'
579,'900',2023-12-01,4,0.17
580,'3C1',2023-12-01,1,0.19
581,'7S1',2023-12-01,5,0.08
582,'7S1',2023-12-01,2,0.08
583,'7S1',2023-12-01,4,0.08
584,'3C1',2023-12-01,5,0.14
585,'3C1',2023-12-01,2,0.14
586,'915',2023-12-01,1,0.17
587,'7S4',2023-12-01,4,0.12
588,'444',2023-12-01,1,0.22
589,'444',2023-12-01,2,0.22
590,'441',2023-12-01,1,0.2
591,'3B3',2023-12-01,1,0.35
592,'843',2023-12-01,1,0.26
593,'7R6',2023-12-01,1,0.24
594,'7R6',2023-12-01,2,0.24
595,'7R1',2023-12-01,1,0.24
596,'439',2023-12-01,1,0.09
597,'7R3',2023-12-01,4,0.26
598,'3C3',2023-12-01,1,0.23
599,'245',2023-12-01,1,0.31
600,'7S5',2023-12-01,4,0.08
601,'3B0',2023-12-01,2,0.3
602,'7R0',2023-12-01,5,0.26
603,'7R0',2023-12-01,2,0.26
604,'3B1',2023-12-01,1,0.24
605,'7R1',2023-12-01,4,0.05
606,'3B5',2023-12-01,5,0.28
607,'3B5',2023-12-01,2,0.28
608,'7R5',2023-12-01,1,0.24
609,'7R5',2023-12-01,2,0.24
610,'6W9',2023-12-01,1,0.24
611,'6W9',2023-12-01,5,0.24
612,'6W9',2023-12-01,2,0.24
613,'3D4',2023-12-01,1,0.22
614,'3D4',2023-12-01,5,0.22
615,'3D4',2023-12-01,2,0.22
616,'3D4',2023-12-01,4,0.25
624,'879',2023-12-01,2,0.31
625,'879',2023-12-01,5,0.31
627,'909',2023-12-01,2,0.1
628,'909',2023-12-01,5,0.1
632,'7S6',2023-12-01,4,0.22
633,'006',2023-12-01,2,0.25
636,'3C6',2023-12-01,1,0.18
638,'005',2023-12-01,2,0.12
639,'7S0',2023-12-01,2,0.15
641,'7T1',2023-12-01,1,0.29
645,'7S3',2023-12-01,4,0.08
646,'7R3',2023-12-01,1,0.26
649,'3D1',2023-12-01,1,0.29
650,'406',2023-12-01,1,0.06
651,'3B6',2023-12-01,2,0.16
652,'3C9',2023-12-01,1,0.18
656,'006',2023-12-01,1,0.25
657,'7S0',2023-12-01,1,0.15
664,'3C6',2023-12-01,4,0.18
665,'464',2023-12-01,4,0.25
667,'3B1',2023-12-01,5,0.24
671,'7S6',2023-12-01,5,0.22
675,'961',2023-12-01,4,0.16
676,'961',2023-12-01,5,0.16
686,'852',2023-12-01,1,0.08
687,'3B8',2023-12-01,1,0.2
688,'7S6',2023-12-01,1,0.25
690,'007',2023-12-01,5,0.08
692,'3B7',2023-12-01,1,0.16
693,'7R6',2023-12-01,4,0.24
694,'852',2023-12-01,4,0.08
695,'961',2023-12-01,1,0.16
696,'7S0',2023-12-01,4,0.15
697,'234',2023-12-01,5,0.25
700,'801',2023-12-01,4,0.09
701,'174',2023-12-01,5,0.09
702,'917',2023-12-01,5,0.25
752,'378',2023-10-01,1,0.2
753,'7S3',2023-10-01,1,0.19
754,'419',2023-10-01,1,0.12
755,'827',2023-10-01,1,0.17
756,'891',2023-10-01,1,0.2
757,'476',2023-10-01,1,0.16
758,'477',2023-10-01,1,0.12
759,'292',2023-10-01,1,0.12
760,'896',2023-10-01,1,0.21
761,'432',2023-10-01,1,0.08
762,'225',2023-10-01,5,0.18
763,'268',2023-10-01,1,0.16
764,'968',2023-10-01,1,0.16
765,'118',2023-10-01,1,0.22
766,'474',2023-10-01,1,0.16
767,'470',2023-10-01,1,0.05
768,'295',2023-10-01,1,0.08
769,'815',2023-10-01,1,0.11
770,'460',2023-10-01,1,0.15
771,'099',2023-10-01,1,0.15
772,'463',2023-10-01,1,0.05
773,'007',2023-10-01,1,0.05
774,'019',2023-10-01,1,0.05
775,'238',2023-10-01,1,0.05
776,'3C0',2023-10-01,1,0.1
777,'214',2023-10-01,1,0.01
778,'366',2023-10-01,1,0.12
779,'289',2023-10-01,1,0.0
780,'008',2023-10-01,1,0.03
781,'917',2023-10-01,1,0.01
782,'222',2023-10-01,1,0.01
783,'001',2023-10-01,1,0.13
784,'810',2023-10-01,1,0.13
785,'268',2023-10-01,5,0.27
786,'968',2023-10-01,5,0.3
787,'985',2023-10-01,5,0.19
788,'099',2023-10-01,5,0.26
789,'955',2023-10-01,5,0.21
790,'7S4',2023-10-01,5,0.2
791,'265',2023-10-01,5,0.25
792,'815',2023-10-01,5,0.1
793,'118',2023-10-01,5,0.1
794,'457',2023-10-01,5,0.13
795,'474',2023-10-01,5,0.2
796,'185',2023-10-01,5,0.23
797,'495',2023-10-01,5,0.26
798,'820',2023-10-01,5,0.26
799,'444',2023-10-01,5,0.14
800,'419',2023-10-01,5,0.23
801,'7R5',2023-10-01,5,0.21
802,'3B0',2023-10-01,5,0.21
803,'3C3',2023-10-01,5,0.18
804,'3B6',2023-10-01,5,0.21
805,'7R6',2023-10-01,5,0.21
806,'290',2023-10-01,5,0.24
807,'875',2023-10-01,5,0.19
808,'878',2023-10-01,5,0.22
809,'019',2023-10-01,5,0.12
810,'877',2023-10-01,5,0.09
811,'222',2023-10-01,5,0.05
812,'238',2023-10-01,5,0.08
813,'366',2023-10-01,5,0.14
814,'299',2023-10-01,5,0.17
815,'3C0',2023-10-01,5,0.13
816,'268',2023-10-01,2,0.27
817,'968',2023-10-01,2,0.29
818,'985',2023-10-01,2,0.19
819,'99',2023-10-01,2,0.24
820,'955',2023-10-01,2,0.19
821,'976',2023-10-01,2,0.14
822,'815',2023-10-01,2,0.1
823,'826',2023-10-01,2,0.22
824,'457',2023-10-01,2,0.06
825,'474',2023-10-01,2,0.19
826,'495',2023-10-01,2,0.24
827,'820',2023-10-01,2,0.18
