'modelcode','brand','clazz','family','metaseries','plant','segment','description','image','trucktype'
R30XMF2,H,Class 2,NA  Prem Ord Picker,'118',Greenville,C2 - Standard and Premium, , , 
K1.0L,H,Class 2,NA  Prem Ord Picker,'457',Masate,C2 - Standard and Premium, , , 
K1.0,H,Class 2,NA  Prem Ord Picker,'460',Masate,C2 - Standard and Premium, , , 
SS030BE,Y,Class 2,NA  Prem Ord Picker,'826',Greenville,C2 - Standard and Premium, , , 
MO 10E,Y,Class 2,NA  Prem Ord Picker,'862',Masate,C2 - Standard and Premium, , , 
MO 10/S,Y,Class 2,NA  Prem Ord Picker,'865',Masate,C2 - Standard and Premium, , , 
SS030BF,Y,Class 2,NA  Prem Ord Picker,'474',Greenville,C2 - Standard and Premium, , , 
R30XMS2,H,Class 2,NA  Stand Ord Picker,'174',Greenville,C2 - Standard and Premium, , , 
OS030EC,Y,Class 2,NA  Stand Ord Picker,'801',Greenville,C2 - Standard and Premium, , , 
V30ZMU,H,Class 2,NA  Man Up Turret,'463',Masate,C2 - Standard and Premium, , , 
V35ZMU,H,Class 2,NA  Man Up Turret,'464',Masate,C2 - Standard and Premium, , , 
V30XMU,H,Class 2,NA  Man Up Turret,'467',Masate,C2 - Standard and Premium, , , 
V35XMU,H,Class 2,NA  Man Up Turret,'468',Masate,C2 - Standard and Premium, , , 
V40XMU,H,Class 2,NA  Man Up Turret,'469',Masate,C2 - Standard and Premium, , , 
NTA035SB,Y,Class 2,NA  Man Up Turret,'869',Masate,C2 - Standard and Premium, , , 
V30ZMD,H,Class 2,NA  Man Down Turret,'210',Greenville,C2 - Standard and Premium, , , 
RP3.0A,H,Class 2,'2-3 Ton Rider Pallet','448',Masate,C2 - Standard and Premium, , , 
RP2.0NA,H,Class 2,'2-3 Ton Rider Pallet','449',Masate,C2 - Standard and Premium, , , 
RS1.0-1.5/D,H,Class 2,'2-3 Ton Rider Pallet','450',Masate,C2 - Standard and Premium, , , 
MP 20-30 S,Y,Class 2,'2-3 Ton Rider Pallet','853',Masate,C2 - Standard and Premium, , , 
MP 20T,Y,Class 2,'2-3 Ton Rider Pallet','854',Masate,C2 - Standard and Premium, , , 
MS/MOS 10-15 S,Y,Class 2,'2-3 Ton Rider Pallet','855',Masate,C2 - Standard and Premium, , , 
Basic Model W40ZB,H,Class 3,'1-2 Ton MH LL Walkie','218',Greenville,C3 - Standard and Premium, , , 
P1.8A,H,Class 3,'1-2 Ton MH LL Walkie','437',Masate,C3 - Standard and Premium, , , 
P2.0HL,H,Class 3,'2-3 Ton MH LL Walkie','472',Masate,C3 - Standard and Premium, , , 
MP 20DL,Y,Class 3,'2-3 Ton MH LL Walkie','473',Masate,C3 - Standard and Premium, , , 
MPB040-E,Y,Class 3,'1-2 Ton MH LL Walkie','827',Greenville,C3 - Standard and Premium, , , 
MP 13-16,Y,Class 3,'1-2 Ton MH LL Walkie','841',Masate,C3 - Standard and Premium, , , 
S1.0-1.5C,H,Class 3,'1-2 Ton MH CB Stack','447',Masate,C3 - Standard and Premium, , , 
W40ZC,H,Class 3,'1-2 Ton MH CB Stack','454',Greenville,C3 - Standard and Premium, , , 
MCW040-E,Y,Class 3,'1-2 Ton MH CB Stack','819',Greenville,C3 - Standard and Premium, , , 
MC 10-15,Y,Class 3,'1-2 Ton MH CB Stack','860',Masate,C3 - Standard and Premium, , , 
S1.0E,H,Class 3,'1-2 Ton MH Strad Stk','440',Masate,C3 - Standard and Premium, , , 
S1.2 ACA,H,Class 3,'1-2 Ton MH Strad Stk','441',Masate,C3 - Standard and Premium, , , 
S1.5SA,H,Class 3,'1-2 Ton MH Strad Stk','442',Masate,C3 - Standard and Premium, , , 
W40ZA,H,Class 3,'1-2 Ton MH Strad Stk','453',Greenville,C3 - Standard and Premium, , , 
S1.4 ACA,H,Class 3,'1-2 Ton MH Strad Stk','456',Masate,C3 - Standard and Premium, , , 
W30ZA2,H,Class 3,'1-2 Ton MH Strad Stk','495',Greenville,C3 - Standard and Premium, , , 
MSW040,Y,Class 3,'1-2 Ton MH Strad Stk','820',Greenville,C3 - Standard and Premium, , , 
MS10/12,Y,Class 3,'1-2 Ton MH Strad Stk','846',Masate,C3 - Standard and Premium, , , 
MS15XA,Y,Class 3,'1-2 Ton MH Strad Stk','847',Masate,C3 - Standard and Premium, , , 
MS16/46,Y,Class 3,'1-2 Ton MH Strad Stk','852',Masate,C3 - Standard and Premium, , , 
MSW040-E,Y,Class 3,'1-2 Ton MH Strad Stk','895',Greenville,C3 - Standard and Premium, , , 
W30ZR,H,Class 3,'1-2 Ton MH Reach Stk','455',Greenville,C3 - Standard and Premium, , , 
MRW030-E,Y,Class 3,'1-2 Ton MH Reach Stk','821',Greenville,C3 - Standard and Premium, , , 
W50Z,H,Class 3,'2-3 Ton MH LL Walkie','215',Greenville,C3 - Standard and Premium, , , 
