'model_code','brand','clazz','family','series','plant','segment','trucktype','description','image','id'
H8XD-EC6,Hyster,Class 5 BT,,F214,Nijmegen,,,,,6988
H36XDS12,Hyster,Class 5 BT,,D917,Nijmegen,,,,,6989
H12XD12,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6990
H9XM-EC8,Hyster,Class 5 BT,,A3C0,Maximal,,,,,6991
H4.5FTS5,Hyster,Class 5 NOT BT,,U005,Craigavon,,,,,6992
GP30UX,Yale,Class 5 NOT BT,,A7S1,Maximal,,,,,6993
ERC070VG,Yale,Class 1,,A968,Greenville,,,,,6994
FBR18WZ,Yale,Class 2,,C900,SN,,,,,6995
MR16,Yale,Class 2,,D849,Masate,,,,,6996
H2XTBD,Hyster,'',,D466,'',,,,,6997
GDP10D,Yale,Class 5 BT,,J876,Nijmegen,,,,,6998
MO12C (SPED),Yale,Class 2,,E857,Masate,,,,,6999
P3.0S,Hyster,Class 3,,A3D9,Maximal,,,,,7000
T5ZAC,Hyster,Class 3,,D476,Ramos,,,,,7001
H9XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7002
H16XD2,Hyster,Class 5 BT,,C238,Nijmegen,,,,,7003
R30XMS3,Hyster,Class 2,,E174,Greenville,,,,,7004
ERP70S,Yale,Class 1,,A410,Craigavon,,,,,7005
W45ZHD2,Hyster,Class 3,,B419,Ramos,,,,,7006
H2.5A,Hyster,Class 5 NOT BT,,R177,Craigavon,,,,,7007
GC120VX,Yale,Class 4,,G818,Berea,,,,,7008
J40XNT,Hyster,Class 2,,K160,Craigavon,,,,,7009
ERP30VL,Yale,Class 3,,A976,Craigavon,,,,,7010
H6.0UT6,Hyster,Class 5 NOT BT,,A3D0,Maximal,,,,,7011
H20XDS9,Hyster,Class 5 BT,,D236,Nijmegen,,,,,7012
N45ZR3,Hyster,Class 2,,E264,Greenville,,,,,7013
G130DP,Yale,Class 5 BT,,K876,Nijmegen,,,,,7014
H10XD-ECD8,Hyster,Class 5 BT,,F214,Nijmegen,,,,,7015
P3.0S,Hyster,Class 3,,E439,Masate,,,,,7016
GP155VX,Yale,Class 5 NOT BT,,H878,Berea,,,,,7017
RS 45-31 CH,Hyster,Class 5 BT,,A921,Maximal,,,,,7018
GC060V,Yale,Class 4,,C910,Berea,,,,,7019
ERP25UX,Yale,Class 1,,A7S4,Maximal,,,,,7020
MR14E,Yale,Class 2,,A942,Masate,,,,,7021
S12SIL,Hyster,Class 3,,D442,Masate,,,,,7022
S100FTBCS,Hyster,Class 4,,J004,Berea,,,,,7023
J2.0UT,Hyster,Class 1,,A3C4,Maximal,,,,,7024
NR035EC,Yale,Class 2,,E861,Greenville,,,,,7025
P2.0UTS,Hyster,Class 3,,A3B1,Ruyi,,,,,7026
ERP18UXT,Yale,Class 1,,A7S5,Maximal,,,,,7027
N35ZDR3,Hyster,Class 2,,E264,Greenville,,,,,7028
J4.00EX,Hyster,Class 1,,A920,SN,,,,,7029
S55FTS,Hyster,Class 4,,H187,Berea,,,,,7030
GP175VX,Yale,Class 5 NOT BT,,D909,Berea,,,,,7031
H3.5UT,Hyster,Class 5 NOT BT,,A3C1,Maximal,,,,,7032
H155FT,Hyster,Class 5 NOT BT,,P006,Berea,,,,,7033
E20MW3,Yale,Class 2,,G807,Craigavon,,,,,7034
H13XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7035
ERP7S9,Yale,Class 1,,A410,Craigavon,,,,,7036
GLP20SMX,Yale,Class 5 NOT BT,,E812,SN,,,,,7037
H9XD-ECD8,Hyster,Class 5 BT,,F214,Nijmegen,,,,,7038
G12DPE,Yale,Class 5 BT,,K876,Nijmegen,,,,,7039
MP20X,Yale,Class 3,,A3D9,Maximal,,,,,7040
GP 30MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7041
FB35SRZ,Yale,Class 1,,C881,SN,,,,,7042
G90DPF,Yale,Class 5 BT,,K876,Nijmegen,,,,,7043
OS030BF,Yale,Class 2,,E826,Greenville,,,,,7044
H5.0FT,Hyster,Class 5 NOT BT,,U005,Craigavon,,,,,7045
T3.0UTS,Hyster,Class 3,,A3C8,Ruyi,,,,,7046
ERP80S,Yale,Class 1,,A410,Craigavon,,,,,7047
H1.8XT,Hyster,Class 5 NOT BT,,D475,SN,,,,,7048
H2.5A6,Hyster,Class 5 NOT BT,,R177,Craigavon,,,,,7049
S80FTBCS,Hyster,Class 4,,J004,Berea,,,,,7050
FB20SRZ,Yale,Class 1,,C881,SN,,,,,7051
J7XNS9,Hyster,Class 1,,A250,Craigavon,,,,,7052
E30HSD3,Hyster,Class 1,,C219,Greenville,,,,,7053
MS60FT,Hyster,Class 4,,H187,Berea,,,,,7054
H12XD6,Hyster,Class 5 BT,,P007,Nijmegen,,,,,7055
MR16HD,Yale,Class 2,,D849,Masate,,,,,7056
